SUB_TYPE,FOLDER_DESCRIPTION,APPLICANT_ORGANIZATION,COMPANY_TYPES
Concrete Pouring,"Type 2 permit needed for concrete installation during non-peak hours from 12:00am - 6:00am on Thursday, September 29th, 2022 unless delayed.  Sound level not to exceed 78dBA as measured 75ft from the source of sound.  Sound and Light management plan and evidence of notification to surrounding property representatives provided.  On site supervisor / superintendent: Brantely Saye 706-540-6574 or Daniel Martinez (816)708-8668 or Ryan Siegwalt 512-318-0228 or Bryan Keene 512-541-6891 or Boyd Matthews 512-845-1671 or Eloy Puebla 737-247-0433.",JE DUNN CONSTRUCTION,Construction
Advertising Sound Amplification,SXSW Official,Vans,Retail
Outdoor Music Venue,,Speakeasy,Entertainment
Outdoor Music Venue,,Red Eyed Fly,Entertainment
Moving Vehicle,,Lloyd Doggett for Congress,Non-profit/Charitable Organizations
Private Sound Amplification,,"C3 Presents, LLC",Entertainment
Private Sound Amplification,,Blayne Tucker,Other
Outdoor Music Venue,,Mueller Browning Hangar/Lake Park,Entertainment
Advertising Sound Amplification,,FLYING SAUCER,Food Service
Concrete Pouring,"Type 1 permit needed for concrete placement during non-peak hours on Thursday, March 31st, 2022 from 7:00pm - 12:00am.  Sound level shall not exceed 83dBA measured 75ft from source of sound.  Sound and Light Management plan and confirmation from applicant that notification of the non-peak hour concrete pour will be provided to surrounding property owners and representatives as required per code.  On site supervisor / superintendent: Christian Valle (832)374-7173 or Seth Harper (513)460-3576 or Chad Cypher (832)849-7054 or Grayson Cate (281)627-1729.",Baker Concrete Construction,Construction
Outdoor Music Venue,,Kenny Dorham's Backyard,Entertainment
Advertising Sound Amplification,,Custom Tattoo's from the Soul,Retail
Outdoor Music Venue,,"Pluckers-Austin, No. 4, LP",Food Service
Advertising Sound Amplification,,Rally Marketing Group,Other
Private Sound Amplification,,IRIE BEAN LLC,Food Service
Outdoor Music Venue,,Carmack Concepts,Other
Advertising Sound Amplification,,La Barbecue,Food Service
Moving Vehicle,,CanWeNetwork LLC,Technology
Advertising Sound Amplification,,Mockingbird Collective,Non-profit/Charitable Organizations
Outdoor Music Venue,Application to renew annual music venue permit.,Maggie Mae's,Food Service
Private Sound Amplification,"Single day amplified sound permit for event on Saturday March 17, 2018 with sound from 2PM - 10PM.",Extra Positive Land LLC,Other
Advertising Sound Amplification,,Wilson-Browning Productions,Entertainment
Outdoor Music Venue,Application to renew annual music venue permit.,Half Step,Food Service
Advertising Sound Amplification,,"The Grackle ATX, LLC",Food Service
Advertising Sound Amplification,"Single day amplified sound permit for Earth Day Austin Festival on Saturday, April 27th, 2019 from Noon - 8PM.",Earth Day Austin,Non-profit/Charitable Organizations
Advertising Sound Amplification,,"Fado Beverage Co, Inc DBA Fado's Irish Pub",Food Service
Advertising Sound Amplification,,Boomerang's Pies LLC,Food Service
Outdoor Music Venue,,The Blackheart,Food Service
Government Amplified Sound,Event benifiting The Thinkery (AKA Austin Childrens Museum),Clink Events,Other
Advertising Sound Amplification,SXSW Official Event,C3 Presents,Entertainment
Outdoor Music Venue,,Botticelli's South Congress,Food Service
Concrete Pouring,"Type 2 permit needed for concrete installation of Level 12 pool bottom frame during non-peak hours 3:00am - 6:00am on Tuesday, January 7th, 2020 unless delayed.  Sound level not to exceed 78dBA as measured 75ft from the source of sound.  Sound and Light Management plan and evidence of notification to surrounding property representatives provided.  On site supervisor / superintendent: Kevin Meredith (737)210-0990.",Rogers Obrien Const Co,Construction
Government Amplified Sound,,Thomas Wright,Other
Outdoor Music Venue,,Easy Tiger,Food Service
Outdoor Music Venue,,LW Southpark Inc,Food Service
Outdoor Music Venue,Application to renew annual OMV permit,Hotel Vegas,Entertainment
Advertising Sound Amplification,,WARBY PARKER CITIZEN'S CIRCUS,Entertainment
Outdoor Music Venue,,Opal Divine's Penn Field,Food Service
Concrete Pouring,"Type 2 permit needed for concrete installation during non-peak hours starting at 12:00am on Monday morning, March 28th, 2022 unless delayed.  Sound level not to exceed 78dBA as measured 75ft from the source of sound.  Sound and Light Management plan and confirmation from applicant that notification of the non-peak hour concrete pour will be provided to surrounding property owners and representatives as required per code.  On site supervisor / superintendent: Juan Navarro (512)417-2354.",United Forming,Construction
Outdoor Music Venue,,HILL'S CAFE,Food Service
Outdoor Music Venue,Application for outdoor music venue permit at existing restaurant.,Nasha Restaurant,Food Service
Outdoor Music Venue,,Star Bar,Food Service
Advertising Sound Amplification,Single day amplified sound permit for temporary use / event (Annual Pool Party) in existing Palazio parking lot on 07/24/2016.,Palazio Men's Club,Entertainment
Advertising Sound Amplification,"Amplified sound permit for Reason Why Berlin @ Austin spring event March 10-11, 2018",Openers UG,Technology
Outdoor Music Venue,Application to renew annual music venue permit.,Hotel SJ Tenant Inc,Hospitality
Private Sound Amplification,"Single day amplified sound permit for Oracle Digital Campus Launch event on Thursday, March 22nd, 2018.",Hartman Studios,Entertainment
Concrete Pouring,"Type 2 permit needed for concrete installation of Topping Slab Pour LVL 2 during non-peak hours on Wednesday morning, July 12th, 2023 starting at 12:01am unless delayed.  Sound level shall not exceed 78dBA measured 75ft from source of sound.  Sound and Light Management plan and confirmation that notification of the non-peak hour concrete pour will be provided to surrounding property owners and representatives as required per code.  On site supervisor / superintendent: Jordan Worthington (512)484-4053.",Spawglass Contractors Inc,Construction
Advertising Sound Amplification,,Music Madness ATX.com,Entertainment
Outdoor Music Venue,,Austin Java Holdings LLC,Food Service
Concrete Pouring,"Type 2 permit needed for concrete installation during non-peak hours 12:00am - 6:00am on Tuesday, August 6th, 2019 unless delayed.  Sound level not to exceed 78dBA as measured 75ft from the source of sound.  Sound and Light management plan and evidence of notification to surrounding property representatives provided.  On site supervisor / superintendent: Vince Odom (512)568-0129.",JE DUNN Construction,Construction
Advertising Sound Amplification,,Emo's Annex,Entertainment
Advertising Sound Amplification,,Empire Room,Entertainment
Private Sound Amplification,,Austin Speed Shop,Retail
Concrete Pouring,"Type 2 permit needed for concrete installation during non-peak hours from 1:00am to 7:00am on Thursday morning, July 7th, 2022 unless delayed.  Sound level not to exceed 78dBA as measured 75ft from the source of sound.  Sound and Light management plan and evidence of notification to surrounding property representatives provided.  On site supervisor / superintendent: Joey Dillard (214)697-7272 or Hunter Welch 512-586-0167.",The Beck Group,Construction
Concrete Pouring,,Rogers O'Brien Construction Company,Construction
Outdoor Music Venue,,Baby Acapulco Restaurant,Food Service
Advertising Sound Amplification,,ScoreMore Holdings LLC,Entertainment
Private Sound Amplification,,BREWING  RE EQUIPMENT LP,Manufacturing
Advertising Sound Amplification,SXSW Official Event,Palm Door on 6th,Entertainment
Advertising Sound Amplification,,Bounce Marketing and Events,Other
Concrete Pouring,,Gilbane Building Company,Construction
Government Amplified Sound,Organized by Peak Performers (aka St Vincent De Paul Soceity),Peak Performers,Other
Concrete Pouring,,Tribble & Stephens Construction,Construction
Government Amplified Sound,Event benefiting area artists,South Austin Museum of Popular Culture,Non-profit/Charitable Organizations
Outdoor Music Venue,,Light Bar Terrace,Food Service
Government Amplified Sound,,Lance Armstrong Foundation,Non-profit/Charitable Organizations
Outdoor Music Venue,Application to renew annual music venue permit.,Little Woodrow's,Food Service
Outdoor Music Venue,Application to renew annual music venue permit.,Craig Nasso Architects,Other
Government Amplified Sound,,Cure Search for Children's Cancer,Non-profit/Charitable Organizations
Outdoor Music Venue,Application for annual outdoor music venue permit.,Central Machine Works Brewery,Food Service
Private Sound Amplification,"Sound permit for Thom's Market 10th anniversary event on Sunday, November 12th, 2017.",Thom's Market LLC,Retail
Concrete Pouring,"Type 3 permit needed for concrete installation during non-peak hours from 12:00am - 7:00am on Saturday, August 3rd, 2019 unless delayed.  Sound and Light Management plan and evidence of notification to surrounding property representatives provided. On site supervisor / superintendent: Rod Nelson (512)563-0594 and/or Mario Tlalticpac 512-563-0721.",Flintco,Construction
Outdoor Music Venue,Application to renew annual music venue permit.,Icenhauer's,Food Service
Government Amplified Sound,,Health Alliance For Austin Musicians,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Transmission Events,Entertainment
Advertising Sound Amplification,,Oat Willies Ltd,Retail
Advertising Sound Amplification,"Single day amplified sound permit for Brews & Blue event on Sunday, March 10th, 2019 (3PM-6PM).",Texas Democratic Party,Non-profit/Charitable Organizations
Outdoor Music Venue,,Agora Inc,Other
Concrete Pouring,"Type 2 permit needed for concrete installation during non-peak hours 12:00am - 6:00am on September 30th, 2017 unless delayed. Sound level not to exceed 78dBA as measured 75ft from the source of sound.  Sound and Light impact plan and evidence of notification to surrounding property representatives provided.  On site supervisor /superintendent: Craig Henderson (512)578-9890",Austin Commercial,Construction
Outdoor Music Venue,Application to renew annual Outdoor Music Venue permit.,Bounce Events,Other
Public Sound Amplification,Event for Non-Profit,Austin Empty Bowl Project,Non-profit/Charitable Organizations
Outdoor Music Venue,,Frape Inc,Technology
Advertising Sound Amplification,,"Elm Restaurant Geoup, LLC",Food Service
Private Sound Amplification,,Texas Mutual Insurance Company,Finance
Private Sound Amplification,"Single day amplified sound permit for Private Party rehearsal dinner at Fresa's on Friday, 03/25/2022 from 5PM to 10PM.",Fresa's Dos LLC,Food Service
Private Sound Amplification,,Butler Creative LLC,Other
Outdoor Music Venue,,Threadgills,Food Service
Advertising Sound Amplification,,Opal Divines,Food Service
Government Amplified Sound,Provided Proof of Non-Profit Status,Solstice Austin/Dart Music International,Entertainment
Advertising Sound Amplification,,GREAT HILLS GOLF CLUB OF AUSTIN INC,Entertainment
Government Amplified Sound,,Centro De Alabanza El Camino Cristiano,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Weirdo's,Retail
Private Sound Amplification,Amplified sound permit for religious assembly use in commercial zoning.,Holy Vietnamese Martyrs Catholic Church,Non-profit/Charitable Organizations
Advertising Sound Amplification,Moving vehicle amplified sound during SXSW (Bluesmobile),Media Mechanics Inc.,Technology
Advertising Sound Amplification,,Red Velvet Events Inc,Other
Concrete Pouring,,Austin Commerical LP,Construction
Advertising Sound Amplification,"Single day amplified sound permit for event on May 21st, 2017 at Lustre Pearl East.",Lustre Pearl East,Food Service
Public Sound Amplification,,"Cheer Up Charlies, LLC.",Food Service
Outdoor Music Venue,Outdoor music venue,Molotov,Food Service
Advertising Sound Amplification,Official SXSW Application.,High Beams Events,Entertainment
Outdoor Music Venue,,Michael Terrazas,Other
Outdoor Music Venue,Application to renew annual outdoor music venue permit.,CIRCUIT OF THE AMERICAS LLC,Entertainment
Outdoor Music Venue,,Allan-Thrasher LLC,Other
Advertising Sound Amplification,,Mobi,Technology
Concrete Pouring,,ROGERS - O'BRIEN CONSTRUCTION,Construction
Public Sound Amplification,,Congress Avenue Baptist Church,Non-profit/Charitable Organizations
Government Amplified Sound,Event benefiting Austin Zambia,Dane Edwards for Austin Zambia,Other
Outdoor Music Venue,Application to renew annual music venue permit.,Highland Lounge,Entertainment
Outdoor Music Venue,Application to renew annual music venue permit.,"Iron Cactus I, LP",Food Service
Concrete Pouring,,United Forming Inc.,Construction
Advertising Sound Amplification,,Mono,Other
Advertising Sound Amplification,,Empire,Entertainment
Outdoor Music Venue,OMV renewal for Bangers.,Bangers Austin LP,Food Service
Advertising Sound Amplification,,"Lacy Maxwell Productions, LLC",Entertainment
Outdoor Music Venue,,Transmission Entertainment,Entertainment
Outdoor Music Venue,Application to renew annual music venue permit.,THE DOGWOOD,Food Service
Private Sound Amplification,,Bennie Guerra,Other
Outdoor Music Venue,,"J. Black's, LP",Food Service
Outdoor Music Venue,,TEST Bar Group LLC,Food Service
Advertising Sound Amplification,,Realty Austin,Finance
Outdoor Music Venue,Changed to 96 hour permit,Club Primo's LLC,Entertainment
Advertising Sound Amplification,,Great Hills Cntry Clb,Entertainment
Outdoor Music Venue,,Opal Divine's Freehouse,Food Service
Advertising Sound Amplification,Notification fee paid under SO-2010-0053M,El Tejano,Food Service
Private Sound Amplification,"Single day amplified sound permit for ATX Fall Startup Crawl event on Thursday, October 12th, 2017.",RED VELVET EVENTS INC,Other
Outdoor Music Venue,Application to renew annual Outdoor Music Venue permit.,Unbarlievable,Food Service
Outdoor Music Venue,,Heard Entertainment Texas LLC,Entertainment
Advertising Sound Amplification,,Insights N America,Other
Advertising Sound Amplification,,University Co-Op,Retail
Outdoor Music Venue,Application to renew annual music venue permit.,Fair Market,Entertainment
Concrete Pouring,"Type 2 permit needed for concrete installation during non-peak hours from 12:00am - 6:00am on Tuesday, April 14th, 2020 unless delayed.  Sound level not to exceed 78dBA as measured 75ft from the source of sound.  Sound and Light management plan and evidence of notification to surrounding property representatives provided.  On site supervisor / superintendent: Cody King (281)793-6689 or Ticer Havens (512)592-8870.",JE Dunn Construction ***MAIN***,Unknown
Outdoor Music Venue,Application to renew annual Music Venue Permit.,Realhart LLC,Other
Government Amplified Sound,,HOLY CROSS LUTHERAN CHURCH,Non-profit/Charitable Organizations
Outdoor Music Venue,,Home Slice Pizza,Food Service
Outdoor Music Venue,Application to renew annual Music Venue permit.,Pop,Retail
Private Sound Amplification,"Amplified sound permit for private wedding event on Saturday, April 22nd, 2023 at Fresa's with amplified sound from 5:00PM to 10:00PM.",Fresa's Dos,Food Service
Outdoor Music Venue,,LOVE GOAT,Entertainment
Government Amplified Sound,Event benefiting St. Elias Antiochian Orthodox Church,St. Elias Orthodox Church,Non-profit/Charitable Organizations
Advertising Sound Amplification,,The Blackheart Bar,Food Service
Advertising Sound Amplification,,Central Market,Retail
Outdoor Music Venue,Applicant surrendered permit 5/21/2013,SRBR Austin LLC,Other
Outdoor Music Venue,Renewal OMV permit application for the Rio.,Rio Equity LLC,Food Service
Private Sound Amplification,,Ethan Lee Smith,Other
Advertising Sound Amplification,"Amplified sound permit for TeamWorkTour Klaxoon March 8-9, 2019.",Klaxoon,Technology
Private Sound Amplification,,Castle Hill Fitness,Healthcare
Advertising Sound Amplification,,C3 Presents LLC,Entertainment
Concrete Pouring,,SJL Const Of TX  LTD,Construction
Advertising Sound Amplification,,ETHAN SMITH,Other
Outdoor Music Venue,,DiverseArts Culture Works,Non-profit/Charitable Organizations
Public Sound Amplification,Moving Vehicle permit,TRAVIS COUNTY DEMOCRATIC PARTY,Non-profit/Charitable Organizations
Government Amplified Sound,Non-Profit status verified via IRS website.,Mexic-Arte Museum,Non-profit/Charitable Organizations
Advertising Sound Amplification,,BAR NINETY SIX AUSTIN LLC,Food Service
Private Sound Amplification,"Amplified sound permit for Pledge World event in portion of parking area March 14-16, 2019.",Because Experiential Marketing,Other
Government Amplified Sound,,Rainforest Partnership,Non-profit/Charitable Organizations
Outdoor Music Venue,Renewal OMV application for Rain on 4th.,Rain on 4th,Food Service
Private Sound Amplification,"Amplified sound permit for private wedding rehearsal dinner event on Friday, October 25th, 2024 at Fresa's with amplified sound from 5:00PM to 10:00PM.",Fresa's South First,Food Service
Outdoor Music Venue,Withdrawn by applicant 7/9/15.,LifeAustin Inc,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Doc's Motorworks Bar & Grill,Food Service
Advertising Sound Amplification,,Tasty Healthy Meals DBA Mel's Meals,Food Service
Outdoor Music Venue,Application to renew annual Outdoor Music Venue permit.,Banger's Austin,Food Service
Private Sound Amplification,,High Beam Events,Entertainment
Advertising Sound Amplification,,CHERRYWOOD COFFEEHOUSE,Food Service
Advertising Sound Amplification,SXSW Official Event,Stump Fluff LLC-SETTLEMENT ACCOUNT,Other
Advertising Sound Amplification,Applicant never picked up permit,Citygram Magazine,Entertainment
Moving Vehicle,,Heroinside.org,Non-profit/Charitable Organizations
Private Sound Amplification,"Single day amplified sound permit for Copa Mundial event in portion of Ojos Locos private parking lot on Sunday June 17, 2018.",Ojos Locos Sports Cantina,Food Service
Outdoor Music Venue,Application to renew annual music venue permit.,Concrete Cowboy,Food Service
Outdoor Music Venue,Application to renew annual music venue permit.,Codependent Cocktails & Coffee,Food Service
Private Sound Amplification,,"C3 Presents, LLC  Shows Account",Entertainment
Advertising Sound Amplification,,Arthouse At The Jones Center,Non-profit/Charitable Organizations
Outdoor Music Venue,Application for Outdoor Music Venue permit.,MIDAS WILLUM HOLDINGS,Finance
Outdoor Music Venue,Application to renew annual music venue permit.,Holmes LFC INC  DBA LUCYS FRIED CHICKEN,Food Service
Advertising Sound Amplification,,COWBOY HARLEY-DAVIDSON OF AUSTIN,Retail
Government Amplified Sound,,Mountian Gorilla Conservation Fund,Non-profit/Charitable Organizations
Public Sound Amplification,,Proarts Collective,Non-profit/Charitable Organizations
Private Sound Amplification,"Amplified sound permit for Eastside Kings 2 day event on September 10th-11th, 2022.",EASTSIDE KINGS FOUNDATION,Non-profit/Charitable Organizations
Concrete Pouring,,D.E. Harvey Builders,Construction
Private Sound Amplification,,Five O One Ent.,Entertainment
Outdoor Music Venue,Application to renew annual Music Venue Permit.,Tipsy Alchemist,Food Service
Advertising Sound Amplification,,"TAKOBA, LLC-BAR",Food Service
Government Amplified Sound,,Sideluck Potshow Inc,Non-profit/Charitable Organizations
Advertising Sound Amplification,,Mean Eyed Cat Group,Food Service
Private Sound Amplification,"Amplified sound permit for Stranahan's Whiskey Peak event on Saturday, May 18, 2019.",Imprint Projects,Other
Advertising Sound Amplification,"Amplified sound permit for 2 day Rhyme Time Fest event Saturday May 20th and Sunday May 21st, 2017.",Kick Butt Coffee LLC,Food Service
Concrete Pouring,,Austin Commercial LP,Construction
Outdoor Music Venue,,Zed's Restaurants LP,Food Service
Outdoor Music Venue,,Pine Street Station,Entertainment
Concrete Pouring,"Type 2 permit needed for concrete installation during non-peak hours between 2am - 7am on Tuesday morning, May 2nd, 2023 unless delayed.  Sound level not to exceed 78dBA as measured 75ft from the source of sound.  Sound and Light Management plan and confirmation from applicant that notification to surrounding property representatives will be provided as required.  On site supervisor / superintendent: Travis Hofmann 512-630-5220.",Pravo Construction,Construction
Private Sound Amplification,,Mellow Johnny's LLC,Retail
Outdoor Music Venue,,TenOak,Food Service
Private Sound Amplification,"Amplified sound permit for SxSoLa Block Party event in portion of NadaMoo's private parking lot on Friday, March 15th, 2019.","NadaMoo R&D Room, LLC",Food Service
Outdoor Music Venue,Application to renew annual music venue permit,La Condesa,Food Service
Government Amplified Sound,Event for Religious Assembly,Jesus Is Alive Ministries,Non-profit/Charitable Organizations
Private Sound Amplification,,HOH Creative Group,Other
Advertising Sound Amplification,,Revival Cycles Inc,Retail
Outdoor Music Venue,,North by Northwest Slaughter,Food Service
Government Amplified Sound,,YMCA of Austin,Non-profit/Charitable Organizations
Moving Vehicle,,"CANWEMEET, LLC",Technology
Advertising Sound Amplification,,"Phil's Ice House,Inc",Food Service
Advertising Sound Amplification,St. Patrick's Day event,The Dog & Duck Pub,Food Service
Advertising Sound Amplification,,CD City Inc DBA Encore Records,Retail
Public Sound Amplification,,"Pecan Street Project, Inc.",Non-profit/Charitable Organizations
Advertising Sound Amplification,,Habana Annex,Food Service
Advertising Sound Amplification,,"ACR ENGINEERING, INC.",Construction
Outdoor Music Venue,,Red Shed Tavern,Food Service
Concrete Pouring,,Capform,Construction
Private Sound Amplification,"Single day amplified sound permit for HomeAway partner event on October 6th, 2016 on roofdeck.",HomeAway,Technology
Private Sound Amplification,"Single day amplified sound permit for Yard Bar anniversary party on Sunday, September 30, 2018.",Yard Bar Burnet LLC,Food Service
Outdoor Music Venue,,LITTLE WOODROW'S HOLDING INC,Food Service
Outdoor Music Venue,Application to renew annual music venue permit.,Penchant Capital LLC,Finance
Advertising Sound Amplification,,Bird's Barbershop,Retail
Private Sound Amplification,,Republican Party Of Texas,Non-profit/Charitable Organizations
Outdoor Music Venue,,Vince Young Steakhouse,Food Service
Advertising Sound Amplification,"Single day amplified sound permit for Chinese New Year event on Feb 5th, 2017.",Helix Management,Other
Public Sound Amplification,,Nicholas Wingate,Other
Advertising Sound Amplification,,Whole Foods Market,Retail
Private Sound Amplification,"Single day amplified sound permit for Fall Startup Crawl at Capital Factory on Thursday, October 4th, 2018.",Capital Factory,Technology
Advertising Sound Amplification,,Laced with Romance Vintage,Retail
Advertising Sound Amplification,"84th annual St. Elias Mediterranean Festival with two days of amplified sound (September 23rd and 24th, 2016)",ST ELIAS ORTHODOX CHURCH,Non-profit/Charitable Organizations
Outdoor Music Venue,Application to renew annual outdoor music venue permit,Hajjar / Peters LLP,Other
Advertising Sound Amplification,SXSW Official Event,Hadley Media,Other
Advertising Sound Amplification,,LOMOGRAPHIC CORPORATION,Retail
